age,screen_damage,battery_damage,model_name,price,ram,rom,make_receive_call,touch_screen_working,isOriginalScreen
1,4,4,iPhone 15,60000,,256,True,True,True
1,4,3,iPhone 15,58500,,512,True,False,True
1,2,4,iPhone 15,57000,,64,True,False,True
1,5,5,iPhone 15,55500,,512,True,False,True
1,4,1,iPhone 15,54000,,64,True,False,True
1,5,1,iPhone 15,52500,,512,False,True,True
1,4,3,iPhone 15,51000,,512,True,True,False
1,3,3,iPhone 15,49500,,64,True,True,True
1,4,2,iPhone 15,48000,,512,True,True,True
1,2,4,iPhone 15,46500,,64,False,False,True
1,2,4,iPhone 15,45000,,512,True,True,False
1,2,5,iPhone 15,1499,,64,False,False,False
1,3,1,iPhone 15,1499,,512,False,False,False
1,2,5,iPhone 15,55500,,64,False,False,True
1,3,2,iPhone 15,1499,,64,False,False,False
1,3,1,iPhone 15,52500,,512,True,True,True
1,3,1,iPhone 15,51000,,512,True,True,True
1,3,5,iPhone 15,49500,,64,True,False,True
1,2,1,iPhone 15,48000,,512,False,True,True
1,1,3,iPhone 15,46500,,128,False,True,False
1,5,1,iPhone 15,45000,,64,False,True,True
1,1,5,iPhone 15,1499,,256,False,False,False
1,5,2,iPhone 15,57000,,512,True,True,True
1,3,2,iPhone 15,55500,,128,True,True,False
1,2,2,iPhone 15,54000,,64,False,True,False
1,1,2,iPhone 15,52500,,512,True,True,False
1,1,4,iPhone 15,51000,,512,True,True,True
1,2,2,iPhone 15,1499,,512,False,False,False
1,5,5,iPhone 15,1499,,128,False,False,False
1,3,5,iPhone 15,46500,,256,False,True,True
1,4,3,iPhone 15,45000,,64,False,True,False
1,3,3,iPhone 15,43500,,128,False,True,False
1,3,1,iPhone 15,42000,,64,False,True,True
1,1,4,iPhone 15,55500,,256,True,True,True
1,5,2,iPhone 15,1499,,128,False,False,False
1,3,3,iPhone 15,52500,,128,True,False,True
1,5,4,iPhone 15,51000,,64,True,True,False
1,1,4,iPhone 15,49500,,512,True,True,True
1,2,3,iPhone 15,48000,,128,True,True,True
1,4,3,iPhone 15,46500,,128,True,False,False
1,2,1,iPhone 15,45000,,256,False,True,True
1,1,4,iPhone 15,43500,,64,False,True,True
1,2,5,iPhone 15,1499,,512,False,False,False
1,2,5,iPhone 15,40500,,256,False,True,True
1,4,2,iPhone 15,54000,,128,False,True,False
1,5,2,iPhone 15,52500,,512,False,False,True
1,2,3,iPhone 15,51000,,256,True,True,False
1,3,5,iPhone 15,49500,,512,False,False,True
1,5,3,iPhone 15,48000,,64,True,True,False
1,2,3,iPhone 15,46500,,256,True,False,False
1,4,5,iPhone 15,45000,,128,True,True,False
1,2,2,iPhone 15,43500,,64,True,True,True
1,4,4,iPhone 15,42000,,256,True,False,False
1,4,5,iPhone 15,40500,,128,False,True,False
1,5,4,iPhone 15,39000,,128,True,False,False
